model,formula,note,nobs,rsquared,adj_rsquared,dep_mean,cov_type,n_clusters
m01_policy_baseline,contract_invalid ~ post2021 + amount_log + amount_llm_regex_conflict_flag + C(court_level_code) + C(cause_code),2021政策冲击基准模型；控制金额、金额质量标记、法院层级和案由。,5166,0.09991523111430423,0.09536138717754061,0.4248935346496322,cluster:province_cluster,32
m02_add_transaction,"contract_invalid ~ post2021 + amount_log + amount_llm_regex_conflict_flag + C(court_level_code) + C(cause_code) + C(transaction_code, Treatment(reference='Lending'))",加入交易类型，用于检验交易结构的解释力增量。,5166,0.1666964254569081,0.1613380821287861,0.4248935346496322,cluster:province_cluster,32
m03_add_region,"contract_invalid ~ post2021 + amount_log + amount_llm_regex_conflict_flag + C(court_level_code) + C(cause_code) + C(transaction_code, Treatment(reference='Lending')) + C(region_macro_code)",加入宏观地区，用于检验地区结构是否吸收政策冲击。,5166,0.169266663498165,0.16343581925677964,0.4248935346496322,cluster:province_cluster,32
m04_linear_time_trend,"contract_invalid ~ post2021 + year_c + amount_log + amount_llm_regex_conflict_flag + C(court_level_code) + C(cause_code) + C(transaction_code, Treatment(reference='Lending')) + C(region_macro_code)",加入线性时间趋势，检验2021冲击是否只是长期趋势。,5166,0.17310679356776848,0.16714052043243455,0.4248935346496322,cluster:province_cluster,32
m05_post2017,"contract_invalid ~ post2017 + amount_log + amount_llm_regex_conflict_flag + C(court_level_code) + C(cause_code) + C(transaction_code, Treatment(reference='Lending')) + C(region_macro_code)",2017政策节点基准检验。,5166,0.16638609947928085,0.16053503681233883,0.4248935346496322,cluster:province_cluster,32
m06_policy_by_transaction,"contract_invalid ~ post2021 * C(transaction_code, Treatment(reference='Lending')) + amount_log + amount_llm_regex_conflict_flag + C(court_level_code) + C(cause_code) + C(region_macro_code)",2021政策冲击与交易类型交互，检验政策效应是否随交易结构变化。,5166,0.17731553057242044,0.1704089643511424,0.4248935346496322,cluster:province_cluster,32
m07_policy_by_amount_q4,"contract_invalid ~ post2021 * q4_amount + amount_log + amount_llm_regex_conflict_flag + C(court_level_code) + C(cause_code) + C(transaction_code, Treatment(reference='Lending')) + C(region_macro_code)",2021政策冲击与高金额案件交互，检验金额规模异质性。,5166,0.16993670076988365,0.16378448595210637,0.4248935346496322,cluster:province_cluster,32
m08_policy_by_big4,"contract_invalid ~ post2021 * region_big4 + amount_log + amount_llm_regex_conflict_flag + C(court_level_code) + C(cause_code) + C(transaction_code, Treatment(reference='Lending')) + C(region_macro_code)",2021政策冲击与北上广浙地区交互，检验地区异质性。,5166,0.17465148984991774,0.16853421983125128,0.4248935346496322,cluster:province_cluster,32
m09_strict_dv,"contract_invalid_strict ~ post2021 + amount_log + amount_llm_regex_conflict_flag + C(court_level_code) + C(cause_code) + C(transaction_code, Treatment(reference='Lending')) + C(region_macro_code)",使用更严格的合同效力因变量。,5095,0.17234942384227359,0.16645867241054602,0.4168792934249264,cluster:province_cluster,32
m10_llm_amount,"contract_invalid ~ post2021 + amount_log_llm + amount_llm_regex_conflict_flag + C(court_level_code) + C(cause_code) + C(transaction_code, Treatment(reference='Lending')) + C(region_macro_code)",使用DSV4/LLM顶层金额替代主金额。,5058,0.16999505467067988,0.1640440134374881,0.4211150652431791,cluster:province_cluster,32
m11_regex_amount,"contract_invalid ~ post2021 + amount_log_regex + amount_llm_regex_conflict_flag + C(court_level_code) + C(cause_code) + C(transaction_code, Treatment(reference='Lending')) + C(region_macro_code)",使用全文正则最大金额作为替代金额口径，仅作为稳健性参考。,5166,0.17123049700461945,0.1654134367379333,0.4248935346496322,cluster:province_cluster,32
m12_winsor_amount,"contract_invalid ~ post2021 + amount_log_winsor + amount_llm_regex_conflict_flag + C(court_level_code) + C(cause_code) + C(transaction_code, Treatment(reference='Lending')) + C(region_macro_code)",对金额在1%和99%分位缩尾后重估。,5166,0.16940477353481453,0.16357489867563224,0.4248935346496322,cluster:province_cluster,32
m13_exclude_top1_amount,"contract_invalid ~ post2021 + amount_log + amount_llm_regex_conflict_flag + C(court_level_code) + C(cause_code) + C(transaction_code, Treatment(reference='Lending')) + C(region_macro_code)",剔除金额最高1%的案件。,5114,0.16834815714100215,0.16245107887767263,0.42588971450919044,cluster:province_cluster,32
